business_status,formatted_address,icon,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
OPERATIONAL,"Extrarradio Diseminados, 74, 47132 Tordesillas, Valladolid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EasyCharger Estación de carga,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101682223055713112817"">Ores Chorney</a>'], 'photo_reference': 'ATtYBwLWwkWKzncWr9SKNBbTZl6jtQmBq_n7ggR0VCutUB5tnKn3PdqsQNO5Gdx_oZWX2mwTrkBAQa35Im9j-h2A5yxM98KgqKZX3-3tKAIvf3jaZGB5CPWiCGhWv_vAwwrc_tMvwibnXhwts_cG6BxNGxG-IqQ5zqgsnLCAICh4uhiueFDa', 'width': 640}]",ChIJDU2QxqFnRw0RU05rjHLGXjo,5.0,ChIJDU2QxqFnRw0RU05rjHLGXjo,"['point_of_interest', 'establishment']",2,41.5421864,-4.8971757,41.54354877989272,-4.895818520107278,41.54084912010727,-4.898518179892722,True,G4R3+V4 Tordesillas,8CHQG4R3+V4
OPERATIONAL,"Ctra. de Villacastín, 14, 37893 Encinas de Abajo, Salamanca",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117625762778379421678"">Jaime Muñez</a>'], 'photo_reference': 'ATtYBwIFBwLMXcmCvhNXp7hASc_O-P1md5zhputX4q0gWNkofiH4ayOKxCcbSJpSGTU5dnzNvfTSYfz9gY5q2ZJHb9lhAvOuNKklr0cS9gHrajY_Ggq-5xKEDspVOxNfBrqmbgvQPb-VjgkmnvLxdKVyhD9d4UpZogW7I59jVyrYvv-dN3gX', 'width': 1920}]",ChIJExggcWg5Pw0RfpIDyKPv-gY,5.0,ChIJExggcWg5Pw0RfpIDyKPv-gY,"['point_of_interest', 'establishment']",2,40.9319599,-5.466889,40.93342757989272,-5.465530020107278,40.93072792010727,-5.468229679892723,True,WGJM+Q6 Encinas de Abajo,8CGPWGJM+Q6
OPERATIONAL,"Autovía de Castilla, 210, 37419 Parada de Rubiales, Salamanca",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Charging Station,,ChIJ7VHvxCQORg0RNfSJmeUBBsY,0.0,ChIJ7VHvxCQORg0RNfSJmeUBBsY,"['point_of_interest', 'establishment']",0,42.275446,-3.896919,42.27705037989272,-3.895764120107278,42.27435072010728,-3.898463779892722,True,74G3+56 Estépar,8CJR74G3+56
OPERATIONAL,"Calle de los Doctrinos, 4, 47001 Valladolid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,,ChIJZdYOhUxtRw0Rqy-cCt_nb98,0.0,ChIJZdYOhUxtRw0Rqy-cCt_nb98,"['point_of_interest', 'establishment']",0,41.64916970000001,-4.7298979,41.65050412989272,-4.728549720107278,41.64780447010728,-4.731249379892722,,J7XC+M2 Valladolid,8CHQJ7XC+M2
OPERATIONAL,"Calle las Pozas, 183, 28200 San Lorenzo de El Escorial, Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108332747533515376285"">Jose Manuel Aguado</a>'], 'photo_reference': 'ATtYBwLhBWB7IDSx5DtIzjJjTAmlHqJN5UGdavyYOJa0Rns4fmCJWx-z_cR4VUqQSKEKi5_bGvtfFAvGajNBbEPQFK-SkujPLDvADYq1_0fnYj0SLMtL5tJPaFwePjUgjQskspWyh0st6VAb7M4N-3JmpL4jpsqm-qLYi2KU_J9xkYF1GOa0', 'width': 1536}]",ChIJDxLJ3LQLQQ0RdtaOGjBQB48,4.0,ChIJDxLJ3LQLQQ0RdtaOGjBQB48,"['point_of_interest', 'establishment']",2,40.60278100000001,-4.127734999999999,40.60412522989272,-4.126410020107278,40.60142557010728,-4.129109679892721,True,JV3C+4W San Lorenzo de El Escorial,8CGQJV3C+4W
OPERATIONAL,28036 Madrid,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de Madrid-Chamartín,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110734329067291332540"">Graham Ross</a>'], 'photo_reference': 'ATtYBwIqYxRO0ssJupzbu8xJ3GCVPOxYuUkvYsNr8MiFJIJOaHaxPBou51qsjrBXtRhTxmGrDMX4B6F330dg2gyUyWtnH1R1eschu2ygOKp3YoGRqybSGsoSPeWdqsP1wAUnwwAicBE1mBKorBCS7cnP_3C8e0KkZKLHdUl_lrjlhngVaJFL', 'width': 5472}]",ChIJbWALKT4pQg0R6nxibfBqHDc,3.0,ChIJbWALKT4pQg0R6nxibfBqHDc,"['transit_station', 'point_of_interest', 'establishment']",224,40.4718908,-3.6825565,40.47305662989272,-3.681267120107278,40.47035697010728,-3.683966779892722,,F8C8+QX Madrid,8CGRF8C8+QX
OPERATIONAL,"Av. de Francisco Pi y Margall, 5, 28050 Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/gas_station-71.png,Estación Naturgy Sanchinarro,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112800969366635893698"">Luis Lau</a>'], 'photo_reference': 'ATtYBwI_5RRjbaboRHmVM266_W1D9di3ukG_xqpFz-vVvYhvcQR4aBONIrdXnjPPeNngsfVS6O8fF9625appXaAbfDXMdRRu6M4L0wljkx3ha-l1cJDCDpsgP_QO-7W0xQLOBA_VG62lEBz26K7BzbCTJo8IxrAGNwwKnPlSd4I7V5cuWag', 'width': 4608}]",ChIJGzDjv7wuQg0R3Y1P2RNiEos,4.2,ChIJGzDjv7wuQg0R3Y1P2RNiEos,"['gas_station', 'point_of_interest', 'establishment']",115,40.4848557,-3.6458831,40.48640957989272,-3.644420370107277,40.48370992010727,-3.647120029892721,True,F9M3+WJ Madrid,8CGRF9M3+WJ
OPERATIONAL,"Calle Cerrajeros, 16, 28830 San Fernando de Henares, Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/gas_station-71.png,Estación de Servicio GNL y GNC Molgas,"[{'height': 300, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111964591183727650775"">A Google User</a>'], 'photo_reference': 'ATtYBwLbvaZ9D_rDQcPEv5iBEpEqi9Bt5yXhuuVagM3qONIODMvJQa1JBgW0X29ukvDCDWEoBCWN15Fb2uk1OlFB5hpmLrCaFmVGAT2Z9bnGbZm9HKXglYcGIA39buq0P3P9tyICsnctYHgYwDL_TiDs1AK01-f0zQoME3FvBuD1--jzMBFV', 'width': 400}]",ChIJH3fGP6wxQg0RUJUpz_StGAM,4.2,ChIJH3fGP6wxQg0RUJUpz_StGAM,"['gas_station', 'point_of_interest', 'establishment']",50,40.4412746,-3.5015475,40.44260077989271,-3.500228520107278,40.43990112010727,-3.502928179892722,True,CFRX+G9 San Fernando de Henares,8CGRCFRX+G9
OPERATIONAL,"Calle de Piñuecar, 53, 28021 Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/gas_station-71.png,Estación Naturgy Villaverde,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104216476886259384904"">A Google User</a>'], 'photo_reference': 'ATtYBwIvcS2z0_YUZ6I0nU3kiLaThrXn1rpV3xh0GlLwgjEvhjcnwknnimJ8jgtHAS59kci9mS0NIKh7Y0ESKruwMS4iMVhPKiLZBoRw7A7B3Oqg3yssQ_LlFUyP174v6ZFQu23gz_p0_TpQyKs4F-0YAHpafUYKad9qsY4cCoh7FLl-OG7N', 'width': 4160}]",ChIJa8pYfDMnQg0RbZFk-3mixEU,3.7,ChIJa8pYfDMnQg0RbZFk-3mixEU,"['gas_station', 'point_of_interest', 'establishment']",42,40.3357927,-3.7178366,40.33714232989272,-3.716445470107278,40.33444267010728,-3.719145129892722,True,87PJ+8V Madrid,8CGR87PJ+8V
OPERATIONAL,"Calle de López de Hoyos, 322, 28043 Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,CETM (Confederación Española de Transporte de Mercancías),"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103671132532957292080"">A Google User</a>'], 'photo_reference': 'ATtYBwKNj6FaOFX_4vHZSevg16Gnf6y0K7gCKfk1G-z8IKoVqtZvGI7SFHzEqs5XjiNE4dedsJijoR-W19SLF3VMVQxi3VrI4H6JPf0niU7oMDe5P_JKo6AzIRN5GxMhOn5SCDcCSWC5pxXC2sLTLzEwy5g28CuW-jzVUk9lrl5VCHZrg8ug', 'width': 604}]",ChIJRcPVRtUuQg0RCO4jDo5K81c,4.2,ChIJRcPVRtUuQg0RCO4jDo5K81c,"['moving_company', 'point_of_interest', 'establishment']",26,40.4559415,-3.6613112,40.45734032989272,-3.659900470107277,40.45464067010727,-3.662600129892721,False,F84Q+9F Madrid,8CGRF84Q+9F
