business_status,formatted_address,icon,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,photos
OPERATIONAL,"33429, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJo1EgDY6LNg0R5BbwrXKh0s8,5.0,ChIJo1EgDY6LNg0R5BbwrXKh0s8,"['point_of_interest', 'establishment']",1,43.3905073,-5.8029572,43.39188162989272,-5.801629670107277,43.38918197010728,-5.804329329892721,True,95RW+6R Oviedo,8CMP95RW+6R,
OPERATIONAL,"33010 Oviedo, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJHVm_MYCMNg0RFtch1vYch3o,0.0,ChIJHVm_MYCMNg0RFtch1vYch3o,"['point_of_interest', 'establishment']",0,43.3726373,-5.815030699999999,43.37399682989273,-5.813659070107278,43.37129717010728,-5.816358729892722,,95FM+3X Oviedo,8CMP95FM+3X,
OPERATIONAL,"Av. de Oviedo, 27B, 33211 Gijón, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Repsol Estación de carga,ChIJwZlxl-N8Ng0RpzfthpxWpms,5.0,ChIJwZlxl-N8Ng0RpzfthpxWpms,"['point_of_interest', 'establishment']",2,43.5221402,-5.6838922,43.52344272989271,-5.682520370107278,43.52074307010727,-5.685220029892721,True,G8C8+VC Gijón,8CMPG8C8+VC,
OPERATIONAL,"Av. de Oviedo, 230, 33211 Gijón, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EDP Estación de recarga rápida eléctrica y de gas natural comprimido,ChIJySAcMx59Ng0RX3NARLua-Ic,2.4,ChIJySAcMx59Ng0RX3NARLua-Ic,"['point_of_interest', 'establishment']",66,43.518087,-5.6868561,43.51939527989271,-5.685393020107278,43.51669562010727,-5.688092679892722,True,G897+67 Gijón,8CMPG897+67,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105106726857270248484"">TapaSySidraS</a>'], 'photo_reference': 'ATtYBwKn4-13rwziquPqmWgzJ1aCrdKdZXzG_rhgDoPUg5uby3wHXVwcRa7ScidADqrALjpnKWFH1YXM74WKOQ_eJHl7QPZB_u-Cg5GOKl5gMpkERjJC-21C_XOeFfFhwYy7BywmVZ-rzlDvezSdS41UYI7ch9l2E6VSxFVQpGxIkYe0qJhm', 'width': 2160}]"
OPERATIONAL,"Plaza Mayor, 2, 33201 Gijón, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJex-4EWZ8Ng0RUdMW9oFpiik,5.0,ChIJex-4EWZ8Ng0RUdMW9oFpiik,"['point_of_interest', 'establishment']",1,43.5446236,-5.662274699999999,43.54592917989272,-5.660936670107277,43.54322952010728,-5.663636329892721,True,G8VQ+R3 Gijón,8CMPG8VQ+R3,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105106726857270248484"">Luis Blanco</a>'], 'photo_reference': 'ATtYBwLZYvh2R5THtNJKYgBiqQzMRHHxhwCm0yZeb72YIVyeqXwKy8jB2b0CskSi4Jk3jddLQFc341CXspqtZvC146pranqOU2unI38Al9M6gPzfaVDuwOe77Pc0_AiZgP_z2HYWQkBFJATz6xb-HDJ4DCSLYbfS7h5SLeMGf5q8fR-kKSB0', 'width': 3840}]"
OPERATIONAL,"Calle Juan López Peñalver, 33204 Gijón, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJoQa5G5V7Ng0RUYJBDNaKMto,0.0,ChIJoQa5G5V7Ng0RUYJBDNaKMto,"['point_of_interest', 'establishment']",0,43.5227443,-5.6255247,43.52405972989273,-5.624220970107278,43.52136007010728,-5.626920629892722,,G9FF+3Q Gijón,8CMPG9FF+3Q,"[{'height': 1232, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110762978899702907843"">Abel Ovies Rino</a>'], 'photo_reference': 'ATtYBwIRYu_zH7DJlb2NEud4_Vpr4fxzP0kYSCUg9IhpEqDjcnaMCkncHXEm2HIuT6bimTqDTB_yGwSbBt6sva590VXVNOG6moy5UjoEIJRIz5zOF9ZAHo0xVN1t8chTgoryi5ED003xUCivhzHMN-vBoV8WdQ6l9GRQ4QY_wMT5xh3PcpcZ', 'width': 849}]"
OPERATIONAL,"Calle del Gral. Elorza, 71, 33002 Oviedo, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EDP Estación de carga,ChIJIeIAze6NNg0Rk8EhZJo00C0,4.0,ChIJIeIAze6NNg0Rk8EhZJo00C0,"['point_of_interest', 'establishment']",2,43.3668546,-5.8487877,43.36828092989272,-5.847707420107278,43.36558127010728,-5.850407079892721,True,9582+PF Oviedo,8CMP9582+PF,
OPERATIONAL,"n°13, Calle Álvarez Garaya, 33206 Gijón, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EDP Estación de carga,ChIJg0pfD9R9Ng0RNNyYRLIo2TA,1.0,ChIJg0pfD9R9Ng0RNNyYRLIo2TA,"['point_of_interest', 'establishment']",1,43.5412615,-5.6655897,43.54259167989272,-5.664184970107278,43.53989202010727,-5.666884629892722,True,G8RM+GQ Gijón,8CMPG8RM+GQ,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113317068851792147581"">Samuel Moran Fernanz</a>'], 'photo_reference': 'ATtYBwKbQjgYE9-L1PSpA_2TkEKDCjl5pDnlaHyH5mvhvUbNxoVgqa7t-Sdm6kauE8j_L05IxBC4Pn0qdlaDpqlgJeAzwoPjWCipZIiNjnD_47cytlMKRE16YI8-vEvuUrz1uO2Xd4Ewh1yBCMY_nqtFhR3V7q88N5Z32S6aLmoPob8DpUZZ', 'width': 3120}]"
OPERATIONAL,"Barrio el Plano, 8, 28, 33211 Gijón, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJ6zqxbAd9Ng0R4KArQ_t7HYA,5.0,ChIJ6zqxbAd9Ng0R4KArQ_t7HYA,"['point_of_interest', 'establishment']",2,43.5351228,-5.6925099,43.53650662989272,-5.691131220107278,43.53380697010728,-5.693830879892722,True,G8P4+2X Gijón,8CMPG8P4+2X,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105106726857270248484"">TapaSySidraS</a>'], 'photo_reference': 'ATtYBwIeCA5_szailyjz1SWjJx_g7Q9D_oHNeSY8qMft3dxRq8ajkxG3oSab7jExufaTA5HoAB6B58Nb7IsUSw8po60musAgSC7o1S_ArocQhec4r9BTe5h6DxmSmAzahyf7FBFuYWJmadgoLJp3NvhqJusb-mC3ibJHyxN8D5WCKid7qoDY', 'width': 3757}]"
OPERATIONAL,"Calle de la Independencia, 13, 33004 Oviedo, Asturias",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EDP Estación de carga,ChIJj0cD24qNNg0Rj-99mrvg0Vs,0.0,ChIJj0cD24qNNg0Rj-99mrvg0Vs,"['point_of_interest', 'establishment']",0,43.36479689999999,-5.8548851,43.36615287989272,-5.853513220107279,43.36345322010728,-5.856212879892722,True,947W+W2 Oviedo,8CMP947W+W2,"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117200677381262437216"">Álex Vega</a>'], 'photo_reference': 'ATtYBwIKRUijiTu6-1hUpwMQURI8V_9JDCcRYKTS0JpinJahX1kz_nNrHoiAwuK-6kSBVpTgSQ6H7I2yD3TTeY7zZf_Sdt7LNc5KUAs6omwewcdRPGAy8RNmQJSV_QgzYyIWktxpPcGbFmm0RUxovggbTnTcR1sI2PAbP-GN5cIeEcKJFIiT', 'width': 800}]"
